bias,Positive,Negative,Sentiment
1,910,137,1.0
1,437,5206,0.0
1,88,4603,0.0
1,795,120,1.0
1,4721,845,1.0
1,210,4818,0.0
1,3928,289,1.0
1,4126,217,1.0
1,1392,111,1.0
1,339,4845,0.0
1,4067,43,1.0
1,76,4681,0.0
1,296,4783,0.0
1,3734,19,1.0
1,6,4594,0.0
1,959,5647,0.0
1,475,4995,0.0
1,224,4742,0.0
1,3772,53,1.0
1,62,4942,0.0
1,3729,31,1.0
1,199,4946,0.0
1,5795,815,1.0
1,4430,676,1.0
1,193,4830,0.0
1,1584,8685,0.0
1,97,4636,0.0
1,3924,67,1.0
1,408,4887,0.0
1,295,4891,0.0
1,1294,465,1.0
1,4746,303,1.0
1,1486,337,1.0
1,26,4610,0.0
1,373,4912,0.0
1,3814,104,1.0
1,82,4729,0.0
1,764,47,1.0
1,132,4734,0.0
1,31,4654,0.0
1,5,4588,0.0
1,601,5259,0.0
1,738,86,1.0
1,794,47,1.0
1,3703,9,1.0
1,1027,158,1.0
1,10,4594,0.0
1,1,4585,0.0
1,148,5046,0.0
1,3749,29,1.0
1,4863,530,1.0
1,3848,105,1.0
1,407,5037,0.0
1,78,4612,0.0
1,4489,527,1.0
1,574,5223,0.0
1,4273,558,1.0
1,4440,261,1.0
1,358,5413,0.0
1,1,4585,0.0
1,4,4592,0.0
1,1714,387,1.0
1,4047,361,1.0
1,3922,172,1.0
1,3846,155,1.0
1,3950,422,1.0
1,255,4852,0.0
1,402,5222,0.0
1,4097,507,1.0
1,74,613,0.0
1,1236,197,1.0
1,4077,471,1.0
1,69,4734,0.0
1,4460,586,1.0
1,400,209,1.0
1,877,91,1.0
1,172,4802,0.0
1,741,100,1.0
1,3844,69,1.0
1,778,63,1.0
1,155,4658,0.0
1,3801,76,1.0
1,1139,537,1.0
1,1,4586,0.0
1,111,803,0.0
1,283,4925,0.0
1,372,4847,0.0
1,3731,45,1.0
1,376,4925,0.0
1,4804,349,1.0
1,411,4987,0.0
1,232,5013,0.0
1,294,5081,0.0
1,18,4721,0.0
1,1179,688,1.0
1,39,4617,0.0
1,32,4698,0.0
1,880,150,1.0
1,3860,84,1.0
1,1508,493,1.0
1,3971,360,1.0
1,4993,843,1.0
1,945,217,1.0
1,259,738,0.0
1,3698,3,1.0
1,4152,350,1.0
1,3800,80,1.0
1,75,4784,0.0
1,419,5031,0.0
1,38,213,0.0
1,3,4596,0.0
1,1304,108,1.0
1,117,4729,0.0
1,182,4761,0.0
1,4781,272,1.0
1,3781,96,1.0
1,3803,150,1.0
1,4306,389,1.0
1,183,4815,0.0
1,7859,246,1.0
1,4091,418,1.0
1,259,4709,0.0
1,448,917,0.0
1,3719,35,1.0
1,65,4681,0.0
1,28,4886,0.0
1,4768,1173,1.0
1,158,20,1.0
1,3790,70,1.0
1,386,4852,0.0
1,249,5022,0.0
1,417,4995,0.0
1,4195,235,1.0
1,3878,48,1.0
1,3851,505,1.0
